Device_ID,State_of_Health_%,Cycle_Count,Charge_%,Charge_Current,SW_Version
902,1,2,1,1054,V10.2.1
902,1,2,2,1054,V10.2.1
902,1,2,3,1054,V10.2.1
902,1,2,4,1054,V10.2.1
902,1,2,5,1054,V10.2.1
902,1,2,6,976,V10.2.1
902,1,2,7,985,V10.2.1
902,1,2,8,985,V10.2.1
902,1,2,9,985,V10.2.1
902,1,2,10,995,V10.2.1
902,1,2,11,995,V10.2.1
902,1,2,12,995,V10.2.1
902,1,2,13,995,V10.2.1
902,1,2,14,995,V10.2.1
902,1,2,15,1005,V10.2.1
902,1,2,16,1005,V10.2.1
902,1,2,17,1005,V10.2.1
902,1,2,18,1005,V10.2.1
902,1,2,19,1005,V10.2.1
902,1,2,20,1005,V10.2.1
902,1,2,21,1005,V10.2.1
902,1,2,22,1005,V10.2.1
902,1,2,23,1005,V10.2.1
902,1,2,24,1005,V10.2.1
902,1,2,25,1005,V10.2.1
902,1,2,26,1005,V10.2.1
902,1,2,27,1005,V10.2.1
902,1,2,28,1005,V10.2.1
902,1,2,29,1005,V10.2.1
902,1,2,30,1005,V10.2.1
902,1,2,31,1015,V10.2.1
902,1,2,32,1015,V10.2.1
902,1,2,33,1015,V10.2.1
902,1,2,34,1015,V10.2.1
902,1,2,35,1015,V10.2.1
902,1,2,36,1015,V10.2.1
902,1,2,37,1015,V10.2.1
902,1,2,38,1015,V10.2.1
902,1,2,39,1015,V10.2.1
902,1,2,40,1024,V10.2.1
902,1,2,41,1015,V10.2.1
902,1,2,42,1024,V10.2.1
902,1,2,43,1024,V10.2.1
902,1,2,44,1024,V10.2.1
902,1,2,45,1024,V10.2.1
902,1,2,46,1024,V10.2.1
902,1,2,47,1024,V10.2.1
902,1,2,48,1034,V10.2.1
902,1,2,49,1034,V10.2.1
902,1,2,50,1024,V10.2.1
902,1,2,51,1024,V10.2.1
902,1,2,52,1034,V10.2.1
902,1,2,53,1034,V10.2.1
902,1,2,54,1034,V10.2.1
902,1,2,55,1044,V10.2.1
902,1,2,56,1044,V10.2.1
902,1,2,57,1044,V10.2.1
902,1,2,58,1044,V10.2.1
902,1,2,59,1019.5,V10.2.1
902,1,2,60,976,V10.2.1
902,1,2,61,936,V10.2.1
902,1,2,62,888,V10.2.1
902,1,2,63,839,V10.2.1
902,1,2,64,790,V10.2.1
902,1,2,65,780,V10.2.1
902,1,2,66,780,V10.2.1
902,1,2,67,790,V10.2.1
902,1,2,68,790,V10.2.1
902,1,2,69,790,V10.2.1
902,1,2,70,790,V10.2.1
902,1,2,71,790,V10.2.1
902,1,2,72,790,V10.2.1
902,1,2,73,800,V10.2.1
902,1,2,74,800,V10.2.1
902,1,2,75,775.5,V10.2.1
902,1,2,76,702,V10.2.1
902,1,2,77,653,V10.2.1
902,1,2,78,634,V10.2.1
902,1,2,79,634,V10.2.1
902,1,2,80,634,V10.2.1
902,1,2,81,653,V10.2.1
902,1,2,82,1503,V10.2.1
902,1,2,83,1483,V10.2.1
