id,period,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,firm,firm_type,payment instrument,access point,speed actual,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,receiving network coverage,pickup method,date,corridor
620163173,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Trans-Fast,Money Transfer Operator,Bank account transfer,Internet,Next day,200,200,USD,4.99,3.41,1.45,3.94,500,500,USD,4.99,3.41,1.45,2.44,3.46,yes,,,Medium,,11-may-16,USABRA
620163174,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Viamericas,Money Transfer Operator,Cash,Agent,Next day,200,200,USD,4.99,3.41,1.45,3.94,500,500,USD,4.99,3.41,1.45,2.44,3.46,yes,,,Low,Agent,11-may-16,USABRA
620163175,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Viamericas,Money Transfer Operator,Bank account transfer,"Agent,Internet",Same day,200,200,USD,5.99,3.41,1.45,4.44,500,500,USD,5.99,3.41,1.45,2.64,3.46,yes,,,Medium,,11-may-16,USABRA
620163176,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Western Union,Money Transfer Operator,Bank account transfer,Internet,3-5 days,200,200,USD,5,3.43,0.87,3.37,500,500,USD,5,3.43,0.87,1.87,3.46,yes,Bank account payment,,Medium,,11-may-16,USABRA
620163177,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Ria,Money Transfer Operator,Bank account transfer,Internet,3-5 days,200,200,USD,5,3.43,0.87,3.37,500,500,USD,5,3.43,0.87,1.87,3.46,yes,Bank account payment,,Medium,,11-may-16,USABRA
620163178,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Viamericas,Money Transfer Operator,Bank account transfer,"Agent,Internet",2 days,200,200,USD,4.99,3.41,1.45,3.94,500,500,USD,4.99,3.41,1.45,2.44,3.46,yes,,,Medium,,11-may-16,USABRA
620163179,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Western Union,Money Transfer Operator,Cash,Agent,Less than one hour,200,200,USD,8,3.43,0.87,4.87,500,500,USD,8,3.43,0.87,2.47,3.46,yes,,,High,Agent,11-may-16,USABRA
620163180,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Cash,Agent,Less than one hour,200,200,USD,9.99,3.32,4.05,9.04,500,500,USD,9.99,3.32,4.05,6.04,3.46,yes,Card payment,,Medium,,11-may-16,USABRA
620163181,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,Ria,Money Transfer Operator,Debit/credit card,Internet,Less than one hour,200,200,USD,12,3.43,0.87,6.87,500,500,USD,20,3.43,0.87,4.87,3.46,yes,Card payment,,High,Agent,11-may-16,USABRA
620163182,2016_2Q,USA,United States,..,High income,..,G8/G20,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Bank account transfer,Internet,3-5 days,200,200,USD,10,3.32,4.05,9.05,500,500,USD,15,3.32,4.05,7.05,3.46,yes,Bank account payment,,Medium,,11-may-16,USABRA
